"Transaction ID","ID de transacción"
"Payment ID","ID de pago"
"Status","Estado"
"Amount","Monto"
"Reference ID","ID de referencia"
"Transaction Date","Fecha de la transacción"
"Completed At","Fecha de Pago"
"Canceled At","Cancelado"
"Cancel Reason","Motivo de cancelación"
"Holder ID: %1","ID del titular: %1"
"Account: %1","Cuenta: %1"
"Sender Account","Cuenta de origen"
"Authorization","Autorización"
"Capture","Captura"
"Refund","Reembolso"
"Void","Anulación"
"Webhook","Webhook"
"Pending","Pendiente"
"Success","Exitoso"
"Failed","Fallido"
"Processing","Procesando"
"Canceled","Cancelado"
"Export","Exportar"
"ID","ID"
"Order #","Pedido n.º"
"Type","Tipo"
"Currency","Moneda"
"Error Message","Mensaje de error"
"Created","Creado"
"Updated","Actualizado"
"Order ID","ID del pedido"
"Method","Método"
"View","Ver"
"View Order","Ver pedido"
"Request Refund","Solicitar reembolso"
"View Refund Transactions","Ver transacciones de reembolso"
"Fintoc Payment Transactions","Transacciones de pago de Fintoc"
"No Fintoc transactions found for this order.","No se encontraron transacciones de Fintoc para este pedido."
"Date","Fecha"
"Actions","Acciones"
"Details","Detalles"
"Transaction Details","Detalles de la transacción"
"Reference","Referencia"
"Previous Status","Estado previo"
"Created At","Creado el"
"Updated At","Actualizado el"
"Created By","Creado por"
"Updated By","Actualizado por"
"Error","Error"
"Code","Código"
"Message","Mensaje"
"Request Data","Datos de la solicitud"
"Response Data","Datos de la respuesta"
"Webhook Data","Datos del webhook"
"Status History","Historial de estado"
"From","Desde"
"To","Hacia"
"User","Usuario"
"Hide","Ocultar"
"Transaction not found.","Transacción no encontrada."
"Fintoc Transaction Details","Detalles de la transacción de Fintoc"
"Payment Information","Información de pago"
"Order not found: %1","Pedido no encontrado: %1"
"Payment successfully processed by Fintoc. Payment ID: %1, Amount: %2 %3, Reference: %4","Pago procesado correctamente por Fintoc. ID de pago: %1, Monto: %2 %3, Referencia: %4"
"Invoice #%1 created","Factura #%1 creada"
"Payment failed at Fintoc. Payment ID: %1, Amount: %2 %3, Status: %4%5","Pago fallido en Fintoc. ID de pago: %1, Monto: %2 %3, Estado: %4%5"
"Fintoc Webhook key is not configured","La clave de Webhook de Fintoc no está configurada"
"Payment pending at Fintoc. Payment ID: %1%2","Pago pendiente en Fintoc. ID de pago: %1%2"
", Amount: %1 %2",", Monto: %1 %2"
"No order ID found in checkout session metadata","No se encontró ID de pedido en los metadatos de la sesión de checkout"
"Fintoc checkout session finished. Session ID: %1, Status: %2","Sesión de checkout de Fintoc finalizada. ID de sesión: %1, Estado: %2"
"Fintoc checkout session expired. Session ID: %1","Sesión de checkout de Fintoc expirada. ID de sesión: %1"
"Missing transaction ID parameter","Falta el parámetro ID de transacción"
"Invalid transaction ID","ID de transacción no válido"
"Transaction not found","Transacción no encontrada"
"Order not found","Pedido no encontrado"
"Invalid action parameter","Parámetro de acción no válido"
"Fintoc payment successful. Transaction ID: %1, Amount: %2 %3","Pago de Fintoc exitoso. ID de transacción: %1, Monto: %2 %3"
"Your payment was successful.","Tu pago se realizó con éxito."
"Customer clicked cancel on Fintoc redirect. Order will be finalized by webhook. Transaction ID: %1","Cliente canceló desde la redirección de Fintoc. El pedido se finalizará por webhook. ID de transacción: %1"
"You returned without completing the payment. Please wait for confirmation before retrying your purchase.","Volviste sin completar el pago. Espera la confirmación antes de reintentar tu compra."
"No order found","No se encontró ningún pedido"
"Fintoc payment initiated. Transaction ID: %1, Amount: %2 %3","Pago de Fintoc iniciado. ID de transacción: %1, Monto: %2 %3"
"Fintoc payment failed. Transaction ID: %1, Error: %2","Pago de Fintoc falló. ID de transacción: %1, Error: %2"
"Error communicating with Fintoc API: %1","Error al comunicarse con la API de Fintoc: %1"
"Fintoc payment failed. Transaction ID: %1, Error: Invalid response from Fintoc API","Pago de Fintoc falló. ID de transacción: %1, Error: Respuesta inválida de la API de Fintoc"
"Invalid response from Fintoc API","Respuesta inválida de la API de Fintoc"
"Fintoc API key is not configured","La clave de API de Fintoc no está configurada"
"Missing transaction identifier.","Falta el identificador de transacción."
"Fintoc Transaction #%1","Transacción de Fintoc #%1"
"Fintoc Refundable Orders","Pedidos reembolsables de Fintoc"
"Request Fintoc Refund","Solicitar reembolso Fintoc"
"Fintoc Transactions","Transacciones de Fintoc"
"Fintoc","Fintoc"
"Basic Settings","Configuración básica"
"Secret API Key","Clave API secreta"
"Webhook Secret","Clave secreta del Webhook"
"Enable Logging","Habilitar registros"
"Debug Level","Nivel de depuración"
"Log Sensitive Data","Registrar datos sensibles"
"Debug Mode","Modo de depuración"
"Refunds","Reembolsos"
"Enable Refunds","Habilitar reembolsos"
"Allow Partial Refunds","Permitir reembolsos parciales"
"Auto-create Credit Memo on Refund Succeeded","Crear nota de crédito automáticamente cuando el reembolso sea exitoso"
"Order Status on Refund Pending","Estado del pedido cuando el reembolso está pendiente"
"Order Status on Refund Succeeded","Estado del pedido cuando el reembolso sea exitoso"
"Order Status on Refund Failed","Estado del pedido cuando el reembolso falle"
"Order Status on Refund Canceled","Estado del pedido cuando el reembolso sea cancelado"
"Payment Initiation","Inicio de pago"
"Enabled","Habilitado"
"Title","Título"
"Automatically Invoice All Items","Facturar automáticamente todos los artículos"
"New Order Status","Nuevo estado del pedido"
"Payment from Applicable Countries","Pago desde países aplicables"
"Payment from Specific Countries","Pago desde países específicos"
"Maximum Order Amount","Monto máximo del pedido"
"Sort Order","Orden de clasificación"
"Payment Status","Estado de pago"
"Paid","Pagado"
"Refund requested","Reembolso solicitado"
"Refunded","Reembolsado"
"Refunds are disabled in configuration","Los reembolsos están deshabilitados en la configuración"
"Order is not paid with Fintoc payment method","El pedido no fue pagado con el método de pago Fintoc"
"Refund amount must be greater than zero","El monto del reembolso debe ser mayor que cero"
"Partial refunds are disabled; you must refund the full refundable amount (%1)","Los reembolsos parciales están deshabilitados; debes reembolsar el monto total reembolsable (%1)"
"Refund amount exceeds refundable amount (%1)","El monto del reembolso excede el monto reembolsable (%1)"
"Missing Fintoc payment identifier for order","Falta el identificador de pago de Fintoc para el pedido"
"Refund API did not return a valid external ID","La API de reembolsos no devolvió un ID externo válido"
"Invalid refund webhook payload","Carga útil de webhook de reembolso no válida"
